"","V1"
"癌症一樣不夠醫",3
"發現我根本買不",3
"發現我連結婚都",3
"的人生我為什麼",3
"的人生規劃全沒",3
"的啊所以我不會",3
"的年紀儲蓄全部",3
"的我不會複製跟",3
"的我沒辦法想像",3
"的收入都要拿來",3
"的那少少的錢得",3
"的錢得癌症一樣",3
"直被罵孝親費給",3
"研究所從國中打",3
"究所從國中打工",3
"立業的年紀儲蓄",3
"紀儲蓄全部都要",3
"結婚都沒錢結我",3
"結我就應該開始",3
"給太少從我發現",3
"給家裡一半錢從",3
"給家裡你有問過",3
"罵孝親費給太少",3
"能念研究所從國",3
"自己好一點一個",3
"自己的人生規劃",3
"蓄全部都要拿給",3
"被生出來嗎我好",3
"被生出來我怎麼",3
"被罵孝親費給太",3
"裡一半錢從我一",3
"裡你有問過小孩",3
"裡否則就是不孝",3
"製跟我一樣悲慘",3
"複製跟我一樣悲",3
"要努存錢存的那",3
"要存為什麼不拿",3
"要拿來回報家裡",3
"要拿給家裡你有",3
"要生小孩呢一個",3
"要給家裡一半錢",3
"規劃全沒了明明",3
"親費給太少從我",3
"該開始恨的啊所",3
"講但是小孩呢長",3
"買不起啊為什麼",3
"買不起房從我發",3
"費給太少從我發",3
"起啊為什麼要存",3
"起房從我發現我",3
"跟我一樣悲慘的",3
"這樣講但是小孩",3
"連結婚都沒錢結",3
"過小孩願不願意",3
"還要生小孩呢一",3
"那少少的錢得癌",3
"那麼慢才開始恨",3
"部都要拿給家裡",3
"都會這樣講但是",3
"都沒錢結我就應",3
"都要拿來回報家",3
"都要拿給家裡你",3
"醫啊出意外一樣",3
"錢存的那少少的",3
"錢得癌症一樣不",3
"錢從我一直被罵",3
"錢結我就應該開",3
"長大以後所有的",3
"開始恨呢從我不",3
"開始恨的啊所以",3
"願不願意被生出",3
"願意被生出來嗎",3
"麼不拿去對自己",3
"麼慢才開始恨呢",3
"麼會那麼慢才開",3
"麼要努存錢存的",3
"麼要存為什麼不",3
"點一個年輕女生",3
"12公斤的小孩",2
"26年輕還有很",2
"6年輕還有很多",2
"lo男solo",2
"olo男sol",2
"oommate",2
"o男solo女",2
"pupu的理由",2
"pu的理由是什",2
"roommat",2
"solo男so",2
"upu的理由是",2
"u的理由是什麼",2
"一下沒有生小孩",2
"一個小孩一起養",2
"一個小孩到大學",2
"一個父母雙方都",2
"一樣覺得如果沒",2
"一次遇到要我拼",2
"一群人不想生養",2
"一群人氣pup",2
"一起不知道大家",2
"一起養兩位年紀",2
"一身名牌運動服",2
"一點好處都沒有",2
"三年前的我沒辦",2
"上大家會和我一",2
"上理性的判斷養",2
"上的需求愛小孩",2
"下成長反正地球",2
"下沒有生小孩的",2
"不優渥的環境下",2
"不動為了帳單保",2
"不如不要生嗎讓",2
"不富裕的家庭長",2
"不小了有經濟能",2
"不想生養小孩不",2
"不懂的事懇請大",2
"不曉得大家相信",2
"不會有這麼大的",2
"不甘自己要比別",2
"不生是國安問題",2
"不知道大家對於",2
"不管原因為何另",2
"不缺窮人家的孩",2
"不能給小孩好的",2
"不要生嗎讓孩子",2
"不見得會照顧你",2
"不解我認為想要",2
"不養的起小孩的",2
"世上大家會和我",2
"世界是不公平的",2
"中時父母親動不",2
"也不見得會照顧",2
"也住一起不知道",2
"也許大多數的女",2
"了小孩也不見得",2
"了就不想生小孩",2
"了帳單保險費學",2
"了根本不缺窮人",2
"了甚麼高檔餐廳",2
"了社會後每年賺",2
"事懇請大家多多",2
"些同學一身名牌",2
"些同學還多還是",2
"交壞朋友長大後",2
"人不想生養小孩",2
"人不生小孩是因",2
"人不結婚的理由",2
"人口早就過剩了",2
"人家庭聚餐吃了",2
"人家的孩子誕生",2
"人氣pupu的",2
"人為什麼要生小",2
"人生小孩真是罪",2
"人辛苦明明我們",2
"什麼一定要生小",2
"今年26年輕還",2
"代在資源不優渥",2
"代很多人不生小",2
"代的理由讓後代",2
"以但畢竟跟傳統",2
"以後會想生小孩",2
"件armani",2
"但是想生一個小",2
"但畢竟跟傳統觀",2
"位女明星的幸福",2
"位年紀都不小了",2
"住一起不知道大",2
"何另一群人氣p",2
"來到這個鬼島一",2
"來越不想生小孩",2
"便我努力讀書出",2
"保險費學費生活",2
"信母愛是天性這",2
"個世界是不公平",2
"個小孩一起養兩",2
"個小孩到大學畢",2
"個父母雙方都不",2
"個鬼島一點好處",2
"們家卻哪裡都沒",2
"們應該多少都有",2
"們的婚禮抑或是",2
"們都是同個年紀",2
"候真的會讓我覺",2
"傳宗接代的理由",2
"傳統觀念不一樣",2
"優渥的環境下成",2
"兒子Adam昨",2
"兩位年紀都不小",2
"出了社會後每年",2
"判斷養不養的起",2
"別人家庭聚餐吃",2
"別人辛苦明明我",2
"到要我拼生育率",2
"到這個鬼島一點",2
"前的我沒辦法想",2
"剩了根本不缺窮",2
"力讀書出了社會",2
"加上理性的判斷",2
"加朋友們的婚禮",2
"努力讀書出了社",2
"動不動為了帳單",2
"動呢不曉得大家",2
"動服飾而我的衣",2
"動為了帳單保險",2
"卑國高中時父母",2
"卑覺得不甘自己",2
"即便我努力讀書",2
"卻哪裡都沒去過",2
"原因為何另一群",2
"原蛋白和玻尿酸",2
"去死死算了其實",2
"參加朋友們的婚",2
"友們的婚禮抑或",2
"反正地球人口早",2
"受度我自己是覺",2
"口早就過剩了根",2
"句話嗎我想也許",2
"另一群人氣pu",2
"只因為傳宗接代",2
"只是多一個人來",2
"可以但畢竟跟傳",2
"台灣有一群人不",2
"台灣生孩子好像",2
"吃了甚麼高檔餐",2
"同學一身名牌運",2
"同學還多還是會",2
"名牌運動服飾而",2
"否會讓妳有悸動",2
"吵架看有些同學",2
"呢不曉得大家相",2
"和我一樣覺得如",2
"喜歡小孩加上理",2
"喜訊是否會讓妳",2
"單保險費學費生",2
"嗎我想也許大多",2
"嗎讓孩子來到這",2
"嚮往結婚懷孕生",2
"因為何另一群人",2
"因為傳宗接代的",2
"因為堅持不生小",2
"因為沒有小孩所",2
"因為經濟因素擔",2
"因素擔心不能給",2
"國高中時父母親",2
"在TSMC工作",2
"在一個父母雙方",2
"在世上大家會和",2
"在台灣有一群人",2
"在台灣生孩子好",2
"在資源不優渥的",2
"地球人口早就過",2
"堅持不生小孩而",2
"境下成長反正地",2
"境在台灣有一群",2
"境成長不如不要",2
"境生活環境在台",2
"多一個人來受苦",2
"多不懂的事懇請",2
"多人不想生孩子",2
"多人不生小孩是",2
"多多指教不要太",2
"多少參加朋友們",2
"多少都有過這種",2
"多指教不要太兇",2
"多數的女生們應",2
"多還是會覺得自",2
"大多數的女生們",2
"大家以後會想生",2
"大家多多指教不",2
"大家對於沒有結",2
"大家會和我一樣",2
"大家相信母愛是",2
"大總覺得很自卑",2
"大量的時間和金",2
"天性這句話嗎我",2
"女明星的幸福喜",2
"女生們應該多少",2
"女生有多少參加",2
"好處都沒有只是",2
"如不要生嗎讓孩",2
"如果不生小孩的",2
"如果沒辦法給孩",2
"如題想知道嚮往",2
"如題現代很多人",2
"如題真心不解我",2
"妳有悸動呢不曉",2
"婚一定要生小孩",2
"婚懷孕生小孩的",2
"婚生小孩的接受",2
"婚禮抑或是那位",2
"子來到這個鬼島",2
"子好像很不恰當",2
"子富裕的環境成",2
"子誕生在世上大",2
"孕生小孩的女生",2
"孩一起養兩位年",2
"孩不管原因為何",2
"孩也不見得會照",2
"孩加上理性的判",2
"孩喜歡小孩加上",2
"孩好的物質生活",2
"孩子來到這個鬼",2
"孩子好像很不恰",2
"孩子富裕的環境",2
"孩子誕生在世上",2
"孩應該是情感上",2
"孩是因為經濟因",2
"孩的女生有多少",2
"孩的成長環境生",2
"孩的接受度我自",2
"孩要花大量的時",2
"學一身名牌運動",2
"學費生活費吵架",2
"學還多還是會覺",2
"宗接代的理由讓",2
"家以後會想生小",2
"家卻哪裡都沒去",2
"家多多指教不要",2
"家對於沒有結婚",2
"家庭聚餐吃了甚",2
"家庭長大總覺得",2
"家會和我一樣覺",2
"家的孩子誕生在",2
"家相信母愛是天",2
"富裕的家庭長大",2
"富裕的環境成長",2
"對於沒有結婚生",2
"小了有經濟能力",2
"小孩一起養兩位",2
"小孩不管原因為",2
"小孩也不見得會",2
"小孩到大學畢業",2
"小孩加上理性的",2
"小孩喜歡小孩加",2
"小孩好的物質生",2
"小孩應該是情感",2
"小孩是因為經濟",2
"小孩的人為什麼",2
"小孩的女生有多",2
"小孩的好處因為",2
"小孩的成長環境",2
"小孩的接受度我",2
"小孩要花大量的",2
"小魯今年26年",2
"少參加朋友們的",2
"少都有過這種念",2
"就一定要生小孩",2
"就不打算生小孩",2
"就過剩了根本不",2
"島一點好處都沒",2
"己是覺得可以但",2
"己要比別人辛苦",2
"帳單保險費學費",2
"常也住一起不知",2
"平常也住一起不",2
"年26年輕還有",2
"年前的我沒辦法",2
"年紀都不小了有",2
"年賺的比那些同",2
"年輕還有很多不",2
"幸福喜訊是否會",2
"幾件衣服輪著穿",2
"度我自己是覺得",2
"庭聚餐吃了甚麼",2
"庭長大總覺得很",2
"廳而我們家卻哪",2
"往結婚懷孕生小",2
"往自己有興趣的",2
"很多不懂的事懇",2
"很多人不想生孩",2
"很多人不生小孩",2
"很自卑國高中時",2
"後代在資源不優",2
"後會想生小孩嗎",2
"後每年賺的比那",2
"得不甘自己要比",2
"得可以但畢竟跟",2
"得在台灣生孩子",2
"得大家相信母愛",2
"得如果沒辦法給",2
"得很自卑國高中",2
"得自卑覺得不甘",2
"心不能給小孩好",2
"心不解我認為想",2
"性的判斷養不養",2
"性這句話嗎我想",2
"悸動呢不曉得大",2
"情感上的需求愛",2
"想也許大多數的",2
"想生一個小孩一",2
"想生小孩的女生",2
"想生養小孩不管",2
"想知道嚮往結婚",2
"想要生小孩應該",2
"愛小孩喜歡小孩",2
"愛是天性這句話",2
"感上的需求愛小",2
"懂的事懇請大家",2
"懇請大家多多指",2
"應該多少都有過",2
"應該是情感上的",2
"懷孕生小孩的女",2
"懷念以前沒小孩",2
"成長不如不要生",2
"成長反正地球人",2
"成長環境生活環",2
"我一樣覺得如果",2
"我不生小孩的話",2
"我們家卻哪裡都",2
"我們都是同個年",2
"我努力讀書出了",2
"我想也許大多數",2
"我沒辦法想像我",2
"我的衣櫃總是那",2
"我自己是覺得可",2
"我覺得在台灣生",2
"我認為想要生小",2
"或是那位女明星",2
"抑或是那位女明",2
"指教不要太兇X",2
"探索這個世界你",2
"接代的理由讓後",2
"接受度我自己是",2
"擔心不能給小孩",2
"教不要太兇XD",2
"數的女生們應該",2
"斷養不養的起小",2
"方都不富裕的家",2
"於沒有結婚生小",2
"早就過剩了根本",2
"明我們都是同個",2
"明明我們都是同",2
"明星的幸福喜訊",2
"星的幸福喜訊是",2
"是否會讓妳有悸",2
"是因為經濟因素",2
"是多一個人來受",2
"是天性這句話嗎",2
"是情感上的需求",2
"是想生一個小孩",2
"是會覺得自卑覺",2
"是第一次遇到要",2
"是覺得可以但畢",2
"是那位女明星的",2
"是那幾件衣服輪",2
"時候真的會讓我",2
"時父母親動不動",2
"時間和金錢而且",2
"曉得大家相信母",2
"書出了社會後每",2
"會和我一樣覺得",2
"會後每年賺的比",2
"會懷念以前沒小",2
"會有這麼大的貧",2
"會覺得自卑覺得",2
"會讓妳有悸動呢",2
"會讓我覺得在台",2
"有一群人不想生",2
"有些同學一身名",2
"有人敢生小孩啊",2
"有什麼理由讓女",2
"有只是多一個人",2
"有多少參加朋友",2
"有很多不懂的事",2
"有悸動呢不曉得",2
"有時候真的會讓",2
"有結婚生小孩的",2
"有這麼大的貧富",2
"有過這種念頭吧",2
"朋友們的婚禮抑",2
"服飾而我的衣櫃",2
"本不缺窮人家的",2
"果不生小孩的話",2
"果沒辦法給孩子",2
"架看有些同學一",2
"根本不缺窮人家",2
"樣覺得如果沒辦",2
"檔餐廳而我們家",2
"櫃總是那幾件衣",2
"次遇到要我拼生",2
"歡小孩加上理性",2
"正地球人口早就",2
"母愛是天性這句",2
"母生小孩就覺得",2
"母親動不動為了",2
"母雙方都不富裕",2
"每個人有每個人",2
"每年賺的比那些",2
"比別人辛苦明明",2
"比那些同學還多",2
"氣pupu的理",2
"求愛小孩喜歡小",2
"沒有只是多一個",2
"沒有結婚生小孩",2
"沒有自己的時間",2
"沒生就不打算生",2
"沒辦法決定自己",2
"沒辦法給孩子富",2
"沒金錢觀在外面",2
"法給孩子富裕的",2
"活環境在台灣有",2
"活費吵架看有些",2
"渥的環境下成長",2
"源不優渥的環境",2
"濟因素擔心不能",2
"灣有一群人不想",2
"灣生孩子好像很",2
"為了帳單保險費",2
"為什麼一定要生",2
"為何另一群人氣",2
"為傳宗接代的理",2
"為堅持不生小孩",2
"為想要生小孩應",2
"為沒有小孩所以",2
"為經濟因素擔心",2
"無法好好受教育",2
"父母生小孩就覺",2
"父母親動不動為",2
"父母雙方都不富",2
"牌運動服飾而我",2
"現代很多人不生",2
"球人口早就過剩",2
"理性的判斷養不",2
"理由讓後代在資",2
"理解這個世界是",2
"環境下成長反正",2
"環境在台灣有一",2
"環境成長不如不",2
"環境生活環境在",2
"甘自己要比別人",2
"甚麼高檔餐廳而",2
"生一個小孩一起",2
"生了小孩也不見",2
"生們應該多少都",2
"生嗎讓孩子來到",2
"生在一個父母雙",2
"生在世上大家會",2
"生孩子好像很不",2
"生小孩只是為了",2
"生小孩應該是情",2
"生小孩是因為經",2
"生小孩的人為什",2
"生小孩的女生有",2
"生小孩的好處因",2
"生小孩的接受度",2
"生小孩真是罪過",2
"生小孩這件事我",2
"生就不打算生小",2
"生有多少參加朋",2
"生活環境在台灣",2
"生活費吵架看有",2
"生養小孩不管原",2
"由讓後代在資源",2
"畢竟跟傳統觀念",2
"的事懇請大家多",2
"的判斷養不養的",2
"的女生們應該多",2
"的女生有多少參",2
"的婚禮抑或是那",2
"的孩子誕生在世",2
"的家庭長大總覺",2
"的幸福喜訊是否",2
"的成長環境生活",2
"的接受度我自己",2
"的時間和金錢而",2
"的會讓我覺得在",2
"的比那些同學還",2
"的理由讓後代在",2
"的環境下成長反",2
"的環境成長不如",2
"的膠原蛋白和玻",2
"的衣櫃總是那幾",2
"的起小孩的成長",2
"的需求愛小孩喜",2
"相信母愛是天性",2
"看有些同學一身",2
"真心不解我認為",2
"真的會讓我覺得",2
"知道嚮往結婚懷",2
"知道大家對於沒",2
"社會後每年賺的",2
"福喜訊是否會讓",2
"禮抑或是那位女",2
"穿別人家庭聚餐",2
"窮人家的孩子誕",2
"窮人生小孩真是",2
"第一次遇到要我",2
"管原因為何另一",2
"紀都不小了有經",2
"素擔心不能給小",2
"結婚一定要生小",2
"結婚懷孕生小孩",2
"結婚生小孩的接",2
"結婚的CP值太",2
"給孩子富裕的環",2
"給小孩好的物質",2
"經濟因素擔心不",2
"總是那幾件衣服",2
"總覺得很自卑國",2
"缺窮人家的孩子",2
"群人不想生養小",2
"群人氣pupu",2
"而我們家卻哪裡",2
"而我的衣櫃總是",2
"聚餐吃了甚麼高",2
"能給小孩好的物",2
"膠原蛋白和玻尿",2
"自卑國高中時父",2
"自卑覺得不甘自",2
"自己是覺得可以",2
"自己要比別人辛",2
"花大量的時間和",2
"苦明明我們都是",2
"著穿別人家庭聚",2
"處都沒有只是多",2
"蛋白和玻尿酸一",2
"衣櫃總是那幾件",2
"裕的家庭長大總",2
"裕的環境成長不",2
"要我拼生育率的",2
"要比別人辛苦明",2
"要生嗎讓孩子來",2
"要生小孩應該是",2
"要花大量的時間",2
"要過很久才會自",2
"見得會照顧你阿",2
"親動不動為了帳",2
"覺得不甘自己要",2
"覺得可以但畢竟",2
"覺得在台灣生孩",2
"覺得如果沒辦法",2
"覺得媽媽很偉大",2
"覺得很自卑國高",2
"覺得自卑覺得不",2
"觀在外面亂借錢",2
"解我認為想要生",2
"解這個世界是不",2
"訊是否會讓妳有",2
"許大多數的女生",2
"話嗎我想也許大",2
"該多少都有過這",2
"該是情感上的需",2
"認為想要生小孩",2
"誕生在世上大家",2
"請大家多多指教",2
"讀書出了社會後",2
"讓妳有悸動呢不",2
"讓孩子來到這個",2
"讓後代在資源不",2
"讓我覺得在台灣",2
"費吵架看有些同",2
"費學費生活費吵",2
"費生活費吵架看",2
"資源不優渥的環",2
"賺的比那些同學",2
"起不知道大家對",2
"起小孩的成長環",2
"起養兩位年紀都",2
"越來越不想生小",2
"跟傳統觀念不一",2
"身名牌運動服飾",2
"輕還有很多不懂",2
"輪著穿別人家庭",2
"辛苦明明我們都",2
"辦法給孩子富裕",2
"這個世界是不公",2
"這個鬼島一點好",2
"這句話嗎我想也",2
"這輩子不生小孩",2
"這還是第一次遇",2
"這麼大的貧富差",2
"遇到要我拼生育",2
"運動服飾而我的",2
"過剩了根本不缺",2
"過很久才會自己",2
"道嚮往結婚懷孕",2
"道大家對於沒有",2
"還多還是會覺得",2
"還是會覺得自卑",2
"還是第一次遇到",2
"還有人敢生小孩",2
"還有很多不懂的",2
"還要過很久才會",2
"那些同學還多還",2
"那位女明星的幸",2
"那幾件衣服輪著",2
"都不富裕的家庭",2
"都不小了有經濟",2
"都有過這種念頭",2
"都沒有只是多一",2
"量的時間和金錢",2
"金錢觀在外面亂",2
"錢觀在外面亂借",2
"長不如不要生嗎",2
"長反正地球人口",2
"長大總覺得很自",2
"長環境生活環境",2
"險費學費生活費",2
"雙方都不富裕的",2
"需求愛小孩喜歡",2
"竟跟傳統觀念不",2
"題想知道嚮往結",2
"題現代很多人不",2
"題真心不解我認",2
"願意接受這些就",2
"飾而我的衣櫃總",2
"養一個小孩到大",2
"養不養的起小孩",2
"養兩位年紀都不",2
"養小孩不管原因",2
"養小孩要花大量",2
"養的起小孩的成",2
"餐吃了甚麼高檔",2
"餐廳而我們家卻",2
"高中時父母親動",2
"高檔餐廳而我們",2
"鬼島一點好處都",2
"魯今年26年輕",2
"麼一定要生小孩",2
"麼大的貧富差距",2
"麼高檔餐廳而我",2
"點去死死算了其",2
"點好處都沒有只",2
"
他覺得他無法",1
"，交往三年多因",1
"，但她往後的人",1
"，但小孩不行。",1
"，但數量我不確",1
"，但會接受讓位",1
"，但自己在成長",1
"，但還是有點難",1
"，到底有什麼理",1
"，到時應該會很",1
"，因為我從來沒",1
"，在往後的20",1
"，在路上看到小",1
"，我媽未婚生下",1
"，才希望不要複",1
"，會討論到關於",1
"，沒有大量的金",1
"，看到親戚生完",1
"，結論是""如果",1
"，而不是小孩，",1
"，而且另一半是",1
"，而且我不是藝",1
"，要是用餐附近",1
"，除了自己家長",1
"。但在生小孩這",1
"。另外我和父母",1
"。想罵的話太多",1
"。我也不知道過",1
"。我承認我仇孩",1
"。昨天和男友聊",1
"。會陪我一輩子",1
"""如果到適婚年",1
"""這確實是最理",1
"(我猜大概是兩",1
"(除非臉真的是",1
")
他覺得他無",1
")在捷運上也完",1
"￣╭之前柯文哲",1
"￣▽￣╭之前柯",1
"ˇˇ大家以後會",1
"ˇ大家以後會想",1
"ˉ些社福團體的",1
"+0414><",1
"+2200>b",1
"+263A>說",1
"+30CE>ω",1
"+30FD><",1
"+7232>你",1
"+7232>擔",1
"+7232>錢",1
"+B420>ρ",1
"+FF6A>像",1
"+FF89>爸",1
"<U+0414",1
"<U+2200",1
"<U+263A",1
"<U+30CE",1
"<U+30FD",1
"<U+B420",1
"<U+FF6A",1
"<U+FF89",1
"><U+041",1
"><U+FF8",1
">b若不考量於",1
">ρ你拿繳所得",1
">ω我說如果我",1
">你們不懂階級",1
">像小妹我就覺",1
">擔心他們因此",1
">爸爸這時突然",1
">說實在台灣幾",1
">錢經濟就比讀",1
"╭之前柯文哲市",1
"╮￣▽￣╭之前",1
"▽￣╭之前柯文",1
"○一七年人口動",1
"○一七年日劇月",1
"○一八年底公布",1
"0>b若不考量",1
"0>ρ你拿繳所",1
"00>b若不考",1
"00000答案",1
"0000答案是",1
"0001215",1
"0008000",1
"000元以下都",1
"000元整當然",1
"000答案是4",1
"000門檻不高",1
"0012154",1
"008000門",1
"00元以下都不",1
"00元整當然前",1
"00的不要生小",1
"00萬了賠這幾",1
"00萬元在以前",1
"00萬元所以我",1
"00萬分30年",1
"00萬剩下75",1
"00萬千萬以上",1
"00萬安樂死費",1
"00萬扣掉45",1
"00萬的家庭在",1
"00萬的概念就",1
"00萬美金說自",1
"00萬貸款60",1
"00萬這還不計",1
"00萬還要犧牲",1
"00答案是45",1
"00門檻不高我",1
"0121545",1
"017年世界快",1
"017的生育率",1
"017聯合國發",1
"020歲你必須",1
"0414><U",1
"04年買的mp",1
"05歲的如果要",1
"08000門檻",1
"0CE>ω我說",1
"0FD><U+",1
"0k後來他自己",1
"0K會想結婚生",1
"0n會帶動新潮",1
"0w的中等社畜",1
"0並不是最好的",1
"0之前真的都會",1
"0了非常仇孩X",1
"0人就有一人是",1
"0以上啦算算自",1
"0元以下都不考",1
"0元回家之後就",1
"0元整當然前提",1
"０其他等等是那",1
"0前也是極度不",1
"0在這之前都不",1
"0多年我家剛好",1
"0多年的責任加",1
"0多歲生的男性",1
"0大關身邊30",1
"0好幾的人總會",1
"0家事通通不做",1
"0年1200萬",1
"0年之後小孩青",1
"0年保証變廢鐵",1
"0年前剛出社會",1
"0年又要犧牲自",1
"0年難道你的修",1
"0年養一個小孩",1
"0後再生比較好",1
"0才顯老態成人",1
"0歲了廠商知道",1
"0歲了是家裡的",1
"0歲了月薪不多",1
"0歲以上大部份",1
"0歲你必須好好",1
"0歲在一起7年",1
"0歲才能小孩才",1
"0歲沒有小孩的",1
"0歲略晚版上的",1
"0歲的我我會覺",1
"0歲的我我會說",1
"0歲的話板上熱",1
"0歲還單身真的",1
"0沒伴沒小孩年",1
"0生小孩有點太",1
"0的不要生小孩",1
"0的富裕人口活",1
"0的時候應該非",1
"0的機率又沒有",1
"0的關係有可能",1
"0的障礙所以不",1
"0萬了賠這幾千",1
"0萬住在板橋自",1
"0萬元在以前我",1
"0萬元所以我都",1
"0萬元整你可以",1
"0萬六都生活房",1
"0萬其實還是養",1
"0萬分30年養",1
